prefecture_code,prefecture_name,fiscal_year,population,source
19,山梨県,2024,794923,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
20,長野県,2024,2009954,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
21,岐阜県,2024,1941972,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
22,静岡県,2024,3565688,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
23,愛知県,2024,7402259,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
24,三重県,2024,1737358,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
25,滋賀県,2024,1387342,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
26,京都府,2024,2530180,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
27,大阪府,2024,8673459,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
28,兵庫県,2024,5363449,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
29,奈良県,2024,1299861,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
30,和歌山県,2024,905440,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
31,鳥取県,2024,543123,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
32,島根県,2024,658655,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
33,岡山県,2024,1853340,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
34,広島県,2024,2747677,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
35,山口県,2024,1317120,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
36,徳島県,2024,706188,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
37,香川県,2024,932586,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
38,愛媛県,2024,1310036,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
39,高知県,2024,678677,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
40,福岡県,2024,5039789,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
41,佐賀県,2024,796363,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
42,長崎県,2024,1287931,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
43,熊本県,2024,1705999,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
44,大分県,2024,1102968,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
45,宮崎県,2024,1049701,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
46,鹿児島県,2024,1558742,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
47,沖縄県,2024,1440211,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
