"term","estimate","se","rr","rr_lcl","rr_ucl"
"age_group15～19歳:visit_typefollowup",0.843354697905829,0.00661304442151309,2.32415073700943,2.29422049182772,2.35447145014304
"age_group20～24歳:visit_typefollowup",0.824404234542665,0.00501677747769548,2.28052170447252,2.25820748576949,2.30305641857266
"age_group25～29歳:visit_typefollowup",0.692631839628548,0.00450541250821283,1.99896958366787,1.98139517639785,2.01669987089286
"age_group30～34歳:visit_typefollowup",0.496869012333965,0.00447447915545257,1.64356721758567,1.62921618845868,1.65804465844271
"age_group35～39歳:visit_typefollowup",0.477525235127735,0.00455412734767669,1.612079942744,1.59775440336997,1.62653392556211
"age_group40～44歳:visit_typefollowup",0.440595352187334,0.00476762123016496,1.55363190137884,1.53918155071589,1.5682179167619
"age_group45～49歳:visit_typefollowup",0.352086269658271,0.00503760525265554,1.42203119657241,1.40805956758313,1.43614146061741
"age_group50～54歳:visit_typefollowup",0.222535078810628,0.00538820981318926,1.24923964072284,1.23611597751794,1.26250263594759
"age_group55～59歳:visit_typefollowup",0.134207823813181,0.00618664094164077,1.14363046859409,1.12984675396519,1.15758233946923
"age_group60～64歳:visit_typefollowup",0.105763071510532,0.00751951122644319,1.11155848543243,1.0952962005852,1.12806222269072
"age_group65～69歳:visit_typefollowup",0.15830781530856,0.00949573073926938,1.17152675308111,1.14992437927351,1.19353494709963
"age_group70～74歳:visit_typefollowup",0.245319863553152,0.0107315972516046,1.27803004306312,1.25142879299029,1.30519674800593
"age_group75～79歳:visit_typefollowup",0.290501826670893,0.0120013699748475,1.3370983112871,1.30601320459649,1.36892329093962
"age_group80～84歳:visit_typefollowup",0.302686409647527,0.0124802353143612,1.35348995649244,1.32078353607649,1.3870062824737
"age_group85～89歳:visit_typefollowup",0.362571638814759,0.0127608352325573,1.43702016372005,1.40152426036592,1.47341505911488
"age_group90歳以上:visit_typefollowup",0.748028242969043,0.0138044658769474,2.11282991950558,2.05643004144938,2.17077662686336
"age_group5～9歳:fiscal_year2023",-0.317359543590064,0.00705522802799847,0.728068935541847,0.718070309577922,0.738206785367047
