prefecture_code,sma_code,area_name,online_primary_count,standard_base_count,online_per_10000_standard_base,online_primary_missing_components
14,1406,横須賀・三浦,4471.666666666667,8330061.333333333,5.368107733820607,0
14,1404,川崎北部,4418.0,8290994.666666667,5.328673069544048,0
11,1102,南西部,4304.0,6457082.666666667,6.665548858803521,1
21,2101,岐阜,4288.666666666667,10792591.333333334,3.9737135727737183,1
14,1405,川崎南部,4277.0,7594074.666666667,5.632022580411816,1
22,2205,静岡,4145.666666666667,8210265.666666667,5.049369697618799,0
18,1801,福井・坂井,4113.333333333333,4995178.0,8.234608122740237,0
07,0702,県中,3621.6666666666665,5630307.333333333,6.432449335802983,1
14,1409,県央,3594.3333333333335,8447475.333333334,4.254920187988317,0
28,2804,東播磨,3517.3333333333335,9166747.666666666,3.8370570034599334,0
24,2401,北勢,3419.6666666666665,9747742.666666666,3.508162641962782,1
27,2707,泉州,3415.6666666666665,9700756.0,3.521031419269453,1
06,0604,庄内,3368.6666666666665,3138249.0,10.734223659966645,1
17,1702,石川中央,3282.6666666666665,8063684.0,4.070926721169464,1
11,1107,西部,3257.6666666666665,7421215.0,4.389667549945213,0
22,2203,駿東田方,3065.6666666666665,7237511.666666667,4.235802037855091,0
15,1502,新潟,2986.3333333333335,9684339.333333334,3.083672753033781,0
13,1310,北多摩西部,2795.0,7516836.666666667,3.7183194526420906,1
12,1204,印旛,2751.0,7084021.0,3.8833876974673003,1
47,4703,南部,2722.3333333333335,7589454.666666667,3.5869946562695505,1
04,0403,仙台,2662.6666666666665,17188757.0,1.5490745879220158,0
47,4702,中部,2535.6666666666665,4164915.0,6.0881594622379245,1
02,0202,八戸地域,2513.0,3947490.6666666665,6.3660695165671495,1
27,2705,南河内,2461.0,6895345.0,3.5690744988104295,1
14,1408,湘南西部,2428.6666666666665,5976548.0,4.063661275148575,0
10,1010,太田・館林,2337.0,3890699.0,6.006632741314607,0
20,2007,松本,2260.3333333333335,4658540.666666667,4.85202018199977,1
08,0806,つくば,2222.0,3992193.6666666665,5.565862243991002,0
45,4501,宮崎東諸県,2107.3333333333335,5748238.0,3.666050941755253,0
38,3804,松山,2091.6666666666665,8106445.666666667,2.5802512626063776,0
28,2812,播磨姫路,2083.6666666666665,9480351.666666666,2.1978790871154392,1
41,4105,南部,2063.0,2036982.0,10.127728178255872,2
33,3301,県南東部,2051.3333333333335,10512412.666666666,1.951343995311194,0
20,2009,長野,1977.0,5712678.333333333,3.460723472673501,1
11,1106,川越比企,1927.6666666666667,8438232.0,2.284443787118755,0
40,4012,北九州,1916.6666666666667,13798110.0,1.3890791323352738,1
27,2704,中河内,1840.0,9169640.333333334,2.006621779167565,0
40,4004,筑紫,1762.3333333333333,4678138.666666667,3.7671677966507473,0
44,4403,中部,1754.3333333333333,6742138.0,2.6020430512299413,1
22,2208,西部,1735.6666666666667,10427462.0,1.6645149765749965,1
13,1308,西多摩,1715.3333333333333,3338781.0,5.137603614412964,1
46,4601,鹿児島,1706.6666666666667,8959973.0,1.9047676445751196,0
