area_type,prefecture_code,sma_code,prefecture_name,area_name,column,fiscal_year,online_primary_count,online_primary_missing_components,standard_base_count,standard_base_missing_components,population_known_thousand,population_65plus_thousand,population_75plus_thousand,share_65plus,share_75plus,clinic_count_2023,remote_home_support_facilities_2023,online_per_100k_provider_location,standard_base_per_100k_provider_location,online_per_10000_standard_base,clinic_per_100k,online_per_clinic,online_components_complete,standard_base_components_complete
prefecture,19,,山梨県,山梨県,24,2022,2140.0,1,8776323.0,0,806.0,252.0,130.0,0.31265508684863524,0.16129032258064516,726.0,3.0,265.50868486352357,1088873.8213399504,2.4383788062494967,90.07444168734492,2.9476584022038566,False,True
prefecture,20,,長野県,長野県,25,2022,8497.0,0,21022442.0,0,2033.0,657.0,355.0,0.32316773241515,0.17461878996556812,1599.0,12.0,417.95376291195277,1034060.1082144614,4.041871063314148,78.65223807181505,5.313946216385241,True,True
prefecture,21,,岐阜県,岐阜県,26,2022,4173.0,0,23027043.0,0,1962.0,605.0,312.0,0.30835881753312944,0.15902140672782875,1598.0,15.0,212.69113149847095,1173651.5290519877,1.8122170527931007,81.44750254841998,2.611389236545682,True,True
prefecture,22,,静岡県,静岡県,27,2022,15056.0,0,40567963.0,0,3607.0,1099.0,568.0,0.30468533407263654,0.1574715830329914,2724.0,27.0,417.4105905184364,1124700.9426115886,3.7113029313303207,75.51982256723039,5.527165932452276,True,True
prefecture,23,,愛知県,愛知県,28,2022,33391.0,0,86345607.0,0,7517.0,1918.0,992.0,0.25515498204070775,0.13196754024211788,5682.0,62.0,444.2064653452175,1148671.105494213,3.8671336226752104,75.58866569110018,5.876627947905667,True,True
prefecture,24,,三重県,三重県,29,2022,7849.0,0,20693193.0,0,1756.0,531.0,276.0,0.30239179954441914,0.1571753986332574,1498.0,6.0,446.98177676537586,1178427.84738041,3.793034743357393,85.30751708428247,5.239652870493992,True,True
prefecture,25,,滋賀県,滋賀県,30,2022,2408.0,0,13924094.0,0,1410.0,376.0,187.0,0.26666666666666666,0.1326241134751773,1143.0,10.0,170.78014184397162,987524.3971631206,1.7293764319603129,81.06382978723404,2.1067366579177604,True,True
prefecture,26,,京都府,京都府,31,2022,13193.0,0,27234796.0,0,2562.0,758.0,400.0,0.29586260733801717,0.156128024980484,2488.0,20.0,514.9492583918814,1063028.7275565965,4.844170670490794,97.11163153786104,5.302652733118971,True,True
prefecture,27,,大阪府,大阪府,32,2022,80448.0,0,103637598.0,0,8806.0,2442.0,1296.0,0.2773109243697479,0.1471723824665001,8877.0,95.0,913.5589370883489,1176897.5471269588,7.762433861116696,100.80626845332728,9.062521122000676,True,True
prefecture,28,,兵庫県,兵庫県,33,2022,29791.0,0,64258309.0,0,5432.0,1608.0,835.0,0.2960235640648012,0.15371870397643594,5196.0,56.0,548.4351988217968,1182958.5603829161,4.6361319592148,95.65537555228276,5.733448806774442,True,True
prefecture,29,,奈良県,奈良県,34,2022,1242.0,0,14817376.0,0,1316.0,423.0,219.0,0.32142857142857145,0.16641337386018237,1213.0,2.0,94.37689969604864,1125940.425531915,0.83820509110385,92.17325227963526,1.0239076669414675,True,True
prefecture,30,,和歌山県,和歌山県,35,2022,1392.0,0,11577917.0,0,914.0,308.0,163.0,0.33698030634573306,0.17833698030634573,1008.0,11.0,152.29759299781182,1266730.5251641138,1.2022888054906595,110.28446389496717,1.380952380952381,True,True
prefecture,31,,鳥取県,鳥取県,36,2022,1233.0,0,5908442.0,0,549.0,180.0,92.0,0.32786885245901637,0.16757741347905283,474.0,3.0,224.59016393442624,1076218.9435336976,2.0868445522525225,86.33879781420765,2.6012658227848102,True,True
prefecture,32,,島根県,島根県,37,2022,6743.0,0,7457147.0,0,665.0,229.0,121.0,0.3443609022556391,0.18195488721804512,689.0,5.0,1013.984962406015,1121375.4887218045,9.042332141233102,103.60902255639098,9.786647314949201,True,True
prefecture,33,,岡山県,岡山県,38,2022,3182.0,0,20782782.0,0,1876.0,575.0,305.0,0.30650319829424305,0.16257995735607675,1550.0,12.0,169.61620469083155,1107824.2004264393,1.531075098608069,82.62260127931769,2.0529032258064515,True,True
prefecture,34,,広島県,広島県,39,2022,7905.0,0,33599523.0,0,2779.0,827.0,431.0,0.29758906081324216,0.15509175962576466,2521.0,34.0,284.454839870457,1209050.8456279237,2.3527119715360243,90.71608492263404,3.1356604522015075,True,True
prefecture,35,,山口県,山口県,40,2022,1869.0,1,16513839.0,0,1328.0,465.0,245.0,0.3501506024096386,0.1844879518072289,1194.0,8.0,140.7379518072289,1243511.9728915663,1.1317780196355312,89.90963855421687,1.565326633165829,False,True
prefecture,36,,徳島県,徳島県,41,2022,803.0,0,8492787.0,0,712.0,247.0,125.0,0.34691011235955055,0.175561797752809,688.0,5.0,112.78089887640449,1192807.1629213484,0.9455082295128796,96.62921348314607,1.1671511627906976,True,True
