area_type,prefecture_code,sma_code,prefecture_name,area_name,column,fiscal_year,procedure_code,procedure_name,count
prefecture,46,,鹿児島県,鹿児島県,51,2022,112024710,外来診療料（情報通信機器を用いた再診を行った場合）,0.0
prefecture,47,,沖縄県,沖縄県,52,2022,112024710,外来診療料（情報通信機器を用いた再診を行った場合）,244.0
prefecture,01,,北海道,北海道,6,2023,111014210,初診料（情報通信機器を用いた初診を行った場合）,4831.0
prefecture,02,,青森県,青森県,7,2023,111014210,初診料（情報通信機器を用いた初診を行った場合）,2597.0
prefecture,03,,岩手県,岩手県,8,2023,111014210,初診料（情報通信機器を用いた初診を行った場合）,270.0
prefecture,04,,宮城県,宮城県,9,2023,111014210,初診料（情報通信機器を用いた初診を行った場合）,1192.0
prefecture,05,,秋田県,秋田県,10,2023,111014210,初診料（情報通信機器を用いた初診を行った場合）,950.0
prefecture,06,,山形県,山形県,11,2023,111014210,初診料（情報通信機器を用いた初診を行った場合）,514.0
prefecture,07,,福島県,福島県,12,2023,111014210,初診料（情報通信機器を用いた初診を行った場合）,3924.0
prefecture,08,,茨城県,茨城県,13,2023,111014210,初診料（情報通信機器を用いた初診を行った場合）,1115.0
prefecture,09,,栃木県,栃木県,14,2023,111014210,初診料（情報通信機器を用いた初診を行った場合）,591.0
prefecture,10,,群馬県,群馬県,15,2023,111014210,初診料（情報通信機器を用いた初診を行った場合）,668.0
prefecture,11,,埼玉県,埼玉県,16,2023,111014210,初診料（情報通信機器を用いた初診を行った場合）,13472.0
prefecture,12,,千葉県,千葉県,17,2023,111014210,初診料（情報通信機器を用いた初診を行った場合）,11012.0
prefecture,13,,東京都,東京都,18,2023,111014210,初診料（情報通信機器を用いた初診を行った場合）,337503.0
prefecture,14,,神奈川県,神奈川県,19,2023,111014210,初診料（情報通信機器を用いた初診を行った場合）,18662.0
prefecture,15,,新潟県,新潟県,20,2023,111014210,初診料（情報通信機器を用いた初診を行った場合）,1089.0
prefecture,16,,富山県,富山県,21,2023,111014210,初診料（情報通信機器を用いた初診を行った場合）,190.0
prefecture,17,,石川県,石川県,22,2023,111014210,初診料（情報通信機器を用いた初診を行った場合）,291.0
prefecture,18,,福井県,福井県,23,2023,111014210,初診料（情報通信機器を用いた初診を行った場合）,382.0
prefecture,19,,山梨県,山梨県,24,2023,111014210,初診料（情報通信機器を用いた初診を行った場合）,444.0
prefecture,20,,長野県,長野県,25,2023,111014210,初診料（情報通信機器を用いた初診を行った場合）,367.0
prefecture,21,,岐阜県,岐阜県,26,2023,111014210,初診料（情報通信機器を用いた初診を行った場合）,845.0
prefecture,22,,静岡県,静岡県,27,2023,111014210,初診料（情報通信機器を用いた初診を行った場合）,1924.0
prefecture,23,,愛知県,愛知県,28,2023,111014210,初診料（情報通信機器を用いた初診を行った場合）,23839.0
prefecture,24,,三重県,三重県,29,2023,111014210,初診料（情報通信機器を用いた初診を行った場合）,758.0
prefecture,25,,滋賀県,滋賀県,30,2023,111014210,初診料（情報通信機器を用いた初診を行った場合）,408.0
prefecture,26,,京都府,京都府,31,2023,111014210,初診料（情報通信機器を用いた初診を行った場合）,2452.0
prefecture,27,,大阪府,大阪府,32,2023,111014210,初診料（情報通信機器を用いた初診を行った場合）,12399.0
prefecture,28,,兵庫県,兵庫県,33,2023,111014210,初診料（情報通信機器を用いた初診を行った場合）,6185.0
prefecture,29,,奈良県,奈良県,34,2023,111014210,初診料（情報通信機器を用いた初診を行った場合）,870.0
prefecture,30,,和歌山県,和歌山県,35,2023,111014210,初診料（情報通信機器を用いた初診を行った場合）,152.0
prefecture,31,,鳥取県,鳥取県,36,2023,111014210,初診料（情報通信機器を用いた初診を行った場合）,278.0
prefecture,32,,島根県,島根県,37,2023,111014210,初診料（情報通信機器を用いた初診を行った場合）,1798.0
prefecture,33,,岡山県,岡山県,38,2023,111014210,初診料（情報通信機器を用いた初診を行った場合）,221.0
prefecture,34,,広島県,広島県,39,2023,111014210,初診料（情報通信機器を用いた初診を行った場合）,1387.0
prefecture,35,,山口県,山口県,40,2023,111014210,初診料（情報通信機器を用いた初診を行った場合）,66.0
prefecture,36,,徳島県,徳島県,41,2023,111014210,初診料（情報通信機器を用いた初診を行った場合）,503.0
prefecture,37,,香川県,香川県,42,2023,111014210,初診料（情報通信機器を用いた初診を行った場合）,43.0
prefecture,38,,愛媛県,愛媛県,43,2023,111014210,初診料（情報通信機器を用いた初診を行った場合）,400.0
prefecture,39,,高知県,高知県,44,2023,111014210,初診料（情報通信機器を用いた初診を行った場合）,169.0
prefecture,40,,福岡県,福岡県,45,2023,111014210,初診料（情報通信機器を用いた初診を行った場合）,2796.0
prefecture,41,,佐賀県,佐賀県,46,2023,111014210,初診料（情報通信機器を用いた初診を行った場合）,80.0
prefecture,42,,長崎県,長崎県,47,2023,111014210,初診料（情報通信機器を用いた初診を行った場合）,189.0
prefecture,43,,熊本県,熊本県,48,2023,111014210,初診料（情報通信機器を用いた初診を行った場合）,1362.0
prefecture,44,,大分県,大分県,49,2023,111014210,初診料（情報通信機器を用いた初診を行った場合）,1459.0
prefecture,45,,宮崎県,宮崎県,50,2023,111014210,初診料（情報通信機器を用いた初診を行った場合）,884.0
prefecture,46,,鹿児島県,鹿児島県,51,2023,111014210,初診料（情報通信機器を用いた初診を行った場合）,339.0
prefecture,47,,沖縄県,沖縄県,52,2023,111014210,初診料（情報通信機器を用いた初診を行った場合）,3107.0
prefecture,01,,北海道,北海道,6,2023,112024210,再診料（一般病床２００床以上の病院を除く）（情報通信機器を用いた再診を行った場合）,11999.0
prefecture,02,,青森県,青森県,7,2023,112024210,再診料（一般病床２００床以上の病院を除く）（情報通信機器を用いた再診を行った場合）,2508.0
prefecture,03,,岩手県,岩手県,8,2023,112024210,再診料（一般病床２００床以上の病院を除く）（情報通信機器を用いた再診を行った場合）,3011.0
prefecture,04,,宮城県,宮城県,9,2023,112024210,再診料（一般病床２００床以上の病院を除く）（情報通信機器を用いた再診を行った場合）,3181.0
prefecture,05,,秋田県,秋田県,10,2023,112024210,再診料（一般病床２００床以上の病院を除く）（情報通信機器を用いた再診を行った場合）,1342.0
prefecture,06,,山形県,山形県,11,2023,112024210,再診料（一般病床２００床以上の病院を除く）（情報通信機器を用いた再診を行った場合）,4500.0
prefecture,07,,福島県,福島県,12,2023,112024210,再診料（一般病床２００床以上の病院を除く）（情報通信機器を用いた再診を行った場合）,3805.0
prefecture,08,,茨城県,茨城県,13,2023,112024210,再診料（一般病床２００床以上の病院を除く）（情報通信機器を用いた再診を行った場合）,6177.0
prefecture,09,,栃木県,栃木県,14,2023,112024210,再診料（一般病床２００床以上の病院を除く）（情報通信機器を用いた再診を行った場合）,6316.0
prefecture,10,,群馬県,群馬県,15,2023,112024210,再診料（一般病床２００床以上の病院を除く）（情報通信機器を用いた再診を行った場合）,4466.0
prefecture,11,,埼玉県,埼玉県,16,2023,112024210,再診料（一般病床２００床以上の病院を除く）（情報通信機器を用いた再診を行った場合）,30919.0
prefecture,12,,千葉県,千葉県,17,2023,112024210,再診料（一般病床２００床以上の病院を除く）（情報通信機器を用いた再診を行った場合）,22863.0
prefecture,13,,東京都,東京都,18,2023,112024210,再診料（一般病床２００床以上の病院を除く）（情報通信機器を用いた再診を行った場合）,290902.0
prefecture,14,,神奈川県,神奈川県,19,2023,112024210,再診料（一般病床２００床以上の病院を除く）（情報通信機器を用いた再診を行った場合）,52912.0
prefecture,15,,新潟県,新潟県,20,2023,112024210,再診料（一般病床２００床以上の病院を除く）（情報通信機器を用いた再診を行った場合）,3109.0
prefecture,16,,富山県,富山県,21,2023,112024210,再診料（一般病床２００床以上の病院を除く）（情報通信機器を用いた再診を行った場合）,2473.0
prefecture,17,,石川県,石川県,22,2023,112024210,再診料（一般病床２００床以上の病院を除く）（情報通信機器を用いた再診を行った場合）,4295.0
prefecture,18,,福井県,福井県,23,2023,112024210,再診料（一般病床２００床以上の病院を除く）（情報通信機器を用いた再診を行った場合）,3862.0
prefecture,19,,山梨県,山梨県,24,2023,112024210,再診料（一般病床２００床以上の病院を除く）（情報通信機器を用いた再診を行った場合）,1331.0
prefecture,20,,長野県,長野県,25,2023,112024210,再診料（一般病床２００床以上の病院を除く）（情報通信機器を用いた再診を行った場合）,3514.0
prefecture,21,,岐阜県,岐阜県,26,2023,112024210,再診料（一般病床２００床以上の病院を除く）（情報通信機器を用いた再診を行った場合）,3356.0
prefecture,22,,静岡県,静岡県,27,2023,112024210,再診料（一般病床２００床以上の病院を除く）（情報通信機器を用いた再診を行った場合）,5742.0
prefecture,23,,愛知県,愛知県,28,2023,112024210,再診料（一般病床２００床以上の病院を除く）（情報通信機器を用いた再診を行った場合）,33827.0
prefecture,24,,三重県,三重県,29,2023,112024210,再診料（一般病床２００床以上の病院を除く）（情報通信機器を用いた再診を行った場合）,4470.0
prefecture,25,,滋賀県,滋賀県,30,2023,112024210,再診料（一般病床２００床以上の病院を除く）（情報通信機器を用いた再診を行った場合）,2094.0
prefecture,26,,京都府,京都府,31,2023,112024210,再診料（一般病床２００床以上の病院を除く）（情報通信機器を用いた再診を行った場合）,5412.0
prefecture,27,,大阪府,大阪府,32,2023,112024210,再診料（一般病床２００床以上の病院を除く）（情報通信機器を用いた再診を行った場合）,47998.0
prefecture,28,,兵庫県,兵庫県,33,2023,112024210,再診料（一般病床２００床以上の病院を除く）（情報通信機器を用いた再診を行った場合）,21740.0
prefecture,29,,奈良県,奈良県,34,2023,112024210,再診料（一般病床２００床以上の病院を除く）（情報通信機器を用いた再診を行った場合）,2247.0
prefecture,30,,和歌山県,和歌山県,35,2023,112024210,再診料（一般病床２００床以上の病院を除く）（情報通信機器を用いた再診を行った場合）,1043.0
prefecture,31,,鳥取県,鳥取県,36,2023,112024210,再診料（一般病床２００床以上の病院を除く）（情報通信機器を用いた再診を行った場合）,801.0
prefecture,32,,島根県,島根県,37,2023,112024210,再診料（一般病床２００床以上の病院を除く）（情報通信機器を用いた再診を行った場合）,8189.0
prefecture,33,,岡山県,岡山県,38,2023,112024210,再診料（一般病床２００床以上の病院を除く）（情報通信機器を用いた再診を行った場合）,2162.0
prefecture,34,,広島県,広島県,39,2023,112024210,再診料（一般病床２００床以上の病院を除く）（情報通信機器を用いた再診を行った場合）,5708.0
prefecture,35,,山口県,山口県,40,2023,112024210,再診料（一般病床２００床以上の病院を除く）（情報通信機器を用いた再診を行った場合）,1134.0
prefecture,36,,徳島県,徳島県,41,2023,112024210,再診料（一般病床２００床以上の病院を除く）（情報通信機器を用いた再診を行った場合）,1123.0
prefecture,37,,香川県,香川県,42,2023,112024210,再診料（一般病床２００床以上の病院を除く）（情報通信機器を用いた再診を行った場合）,588.0
