year,prefecture_code,prefecture_name,reporting_facilities,facilities_with_observed_online_use,facilities_with_suppressed_online_component,observed_online_patient_days,top1_share_observed_pct,top2_share_observed_pct,top5_share_observed_pct,hhi_observed,population,observed_online_patient_days_per_10k
2023,16,富山県,115.0,6.0,2.0,7138.0,73.18576632109834,88.56822639394788,99.83188568226393,5680.777414492233,1020096,69.97380638684987
2023,40,福岡県,754.0,16.0,22.0,6406.0,57.243209491102085,74.97658445207618,92.25725881985637,3747.215306755131,5062179,12.654629557745785
2023,12,千葉県,374.0,23.0,22.0,6349.0,41.01433296582139,57.31611277366514,80.86312805166168,2228.2766913188184,6195100,10.248422140078448
2023,14,神奈川県,433.0,33.0,27.0,4728.0,39.02284263959391,52.41116751269035,70.32571912013536,1876.4655105774434,9105960,5.192203787409565
2023,47,沖縄県,123.0,9.0,4.0,3775.0,50.22516556291391,80.29139072847681,95.28476821192054,3536.6469891671422,1446609,26.095510258819072
2023,44,大分県,315.0,12.0,7.0,2855.0,67.67075306479859,82.13660245183887,94.2907180385289,4869.646455507129,1107868,25.770218112627138
2023,43,熊本県,378.0,17.0,9.0,2693.0,68.69662086891942,76.75454883030078,88.08020794652805,4845.720272428594,1713578,15.715654612745963
2023,34,広島県,330.0,23.0,13.0,2075.0,32.81927710843374,40.24096385542168,58.12048192771084,1364.0179997096818,2759884,7.518431934095781
2023,42,長崎県,291.0,14.0,9.0,1979.0,42.7488630621526,68.46892369883778,86.30621526023243,2630.615398010593,1293653,15.297765320375712
2023,07,福島県,161.0,5.0,5.0,1841.0,42.585551330798474,79.9565453557849,100.0,3394.8468716521293,1807080,10.18770613365208
2023,04,宮城県,193.0,10.0,7.0,1745.0,67.90830945558739,76.6189111747851,93.12320916905445,4802.091936847808,2269256,7.68974500893685
2023,02,青森県,164.0,8.0,6.0,1562.0,71.25480153649167,84.50704225352112,96.28681177976954,5316.192346723807,1220377,12.799323487741901
2023,26,京都府,190.0,8.0,6.0,1520.0,40.78947368421053,62.30263157894736,90.39473684210526,2455.453601108033,2541420,5.980908311101667
2023,20,長野県,157.0,6.0,9.0,1436.0,51.74094707520891,66.92200557103064,93.59331476323119,3208.182354264787,2018883,7.112844082594187
2023,46,鹿児島県,440.0,12.0,14.0,1265.0,26.48221343873518,43.47826086956522,81.73913043478261,1582.2712431064383,1565667,8.079623572573222
2023,03,岩手県,137.0,9.0,7.0,1172.0,36.604095563139936,66.21160409556315,91.21160409556315,2458.5609616885463,1193317,9.821363476762672
2023,21,岐阜県,182.0,12.0,12.0,1169.0,27.03165098374679,51.83917878528656,84.85885372112917,1890.475434320166,1950600,5.993027786322157
