year,prefecture_code,prefecture_name,sma_code,sma_name,reporting_facilities,facilities_with_observed_online_use,facilities_with_suppressed_online_component,observed_online_patient_days,top1_share_observed_pct,top2_share_observed_pct,top5_share_observed_pct,hhi_observed,ndb_sma_name,online_primary_count,online_primary_missing_components,facility_report_to_ndb_ratio
2022,38,愛媛県,3801,宇摩,10.0,2.0,3.0,254.0,66.53543307086615,100.0,100.0,5546.841093682187,宇摩,239.0,0,1.0627615062761506
2022,27,大阪府,2702,三島,42.0,4.0,3.0,249.0,45.78313253012048,75.90361445783132,100.0,3398.17099724198,三島,4767.0,1,0.05223410950283197
2022,29,奈良県,2901,奈良,27.0,1.0,0.0,237.0,100.0,100.0,100.0,10000.0,奈良,584.0,0,0.4058219178082192
2022,11,埼玉県,1108,利根,43.0,2.0,0.0,230.0,95.21739130434783,100.0,100.0,9089.224952741022,利根,942.0,0,0.24416135881104034
2022,09,栃木県,0902,県西,19.0,1.0,2.0,185.0,100.0,100.0,100.0,10000.0,県西,222.0,0,0.8333333333333334
2022,43,熊本県,4302,宇城,22.0,1.0,1.0,183.0,100.0,100.0,100.0,10000.0,宇城,187.0,1,0.9786096256684492
2022,13,東京都,1311,北多摩南部,45.0,1.0,1.0,180.0,100.0,100.0,100.0,10000.0,北多摩南部,4436.0,1,0.0405770964833183
2022,31,鳥取県,3101,東部,20.0,1.0,1.0,178.0,100.0,100.0,100.0,10000.0,東部,332.0,0,0.536144578313253
2022,22,静岡県,2206,志太榛原,24.0,1.0,0.0,168.0,100.0,100.0,100.0,10000.0,志太榛原,733.0,0,0.2291950886766712
2022,26,京都府,2605,山城北,27.0,1.0,0.0,167.0,100.0,100.0,100.0,10000.0,山城北,718.0,0,0.23259052924791088
2022,39,高知県,3904,幡多,21.0,1.0,0.0,157.0,100.0,100.0,100.0,10000.0,幡多,343.0,0,0.4577259475218659
2022,47,沖縄県,4702,中部,33.0,1.0,1.0,153.0,100.0,100.0,100.0,10000.0,中部,900.0,1,0.17
2022,11,埼玉県,1102,南西部,38.0,3.0,3.0,150.0,72.66666666666667,93.33333333333333,100.0,5752.0,南西部,2450.0,1,0.061224489795918366
2022,17,石川県,1702,石川中央,83.0,2.0,0.0,147.0,91.83673469387756,100.0,100.0,8500.624739691795,石川中央,2716.0,0,0.05412371134020619
2022,06,山形県,0603,置賜,19.0,2.0,0.0,145.0,90.3448275862069,100.0,100.0,8255.410225921521,置賜,114.0,1,1.2719298245614035
2022,42,長崎県,4206,五島,11.0,1.0,0.0,142.0,100.0,100.0,100.0,10000.0,五島,115.0,1,1.2347826086956522
2022,05,秋田県,0503,能代・山本,10.0,1.0,0.0,140.0,100.0,100.0,100.0,10000.0,能代・山本,576.0,0,0.24305555555555555
2022,16,富山県,1603,高岡,30.0,1.0,2.0,137.0,100.0,100.0,100.0,10000.0,高岡,502.0,1,0.2729083665338645
2022,36,徳島県,3603,南部,23.0,1.0,0.0,133.0,100.0,100.0,100.0,10000.0,南部,128.0,0,1.0390625
2022,35,山口県,3503,周南,32.0,3.0,1.0,129.0,51.162790697674424,87.59689922480621,100.0,4098.912324980471,周南,214.0,1,0.602803738317757
2022,12,千葉県,1204,印旛,43.0,2.0,1.0,128.0,84.375,100.0,100.0,7363.28125,印旛,2428.0,0,0.05271828665568369
2022,17,石川県,1703,能登中部,11.0,1.0,1.0,127.0,100.0,100.0,100.0,10000.0,能登中部,265.0,0,0.47924528301886793
2022,01,北海道,0120,釧路,31.0,1.0,0.0,123.0,100.0,100.0,100.0,10000.0,釧路,517.0,0,0.2379110251450677
