year,prefecture_code,prefecture_name,sma_code,sma_name,reporting_facilities,facilities_with_observed_online_use,facilities_with_suppressed_online_component,observed_online_patient_days,top1_share_observed_pct,top2_share_observed_pct,top5_share_observed_pct,hhi_observed
2022,12,千葉県,1202,東葛南部,80.0,1.0,2.0,17.0,100.0,100.0,100.0,10000.0
2022,07,福島県,0707,いわき,27.0,1.0,2.0,16.0,100.0,100.0,100.0,10000.0
2022,43,熊本県,4308,八代,29.0,1.0,0.0,16.0,100.0,100.0,100.0,10000.0
2022,07,福島県,0702,県中,46.0,1.0,0.0,15.0,100.0,100.0,100.0,10000.0
2022,42,長崎県,4208,壱岐,5.0,1.0,0.0,15.0,100.0,100.0,100.0,10000.0
2022,06,山形県,0602,最上,5.0,1.0,0.0,14.0,100.0,100.0,100.0,10000.0
2022,28,兵庫県,2804,東播磨,54.0,1.0,2.0,14.0,100.0,100.0,100.0,10000.0
2022,21,岐阜県,2103,中濃,33.0,1.0,2.0,13.0,100.0,100.0,100.0,10000.0
2022,15,新潟県,1502,新潟,56.0,1.0,0.0,12.0,100.0,100.0,100.0,10000.0
2022,34,広島県,3402,広島西,16.0,1.0,1.0,11.0,100.0,100.0,100.0,10000.0
2022,35,山口県,3504,山口・防府,37.0,1.0,1.0,11.0,100.0,100.0,100.0,10000.0
2022,06,山形県,0601,村山,46.0,1.0,0.0,10.0,100.0,100.0,100.0,10000.0
2022,13,東京都,1302,区南部,55.0,1.0,2.0,10.0,100.0,100.0,100.0,10000.0
2022,01,北海道,0102,南檜山,8.0,0.0,0.0,0.0,,,,
2022,01,北海道,0103,北渡島檜山,6.0,0.0,0.0,0.0,,,,
2022,01,北海道,0107,中空知,15.0,0.0,0.0,0.0,,,,
2022,01,北海道,0108,北空知,3.0,0.0,0.0,0.0,,,,
2022,01,北海道,0109,西胆振,20.0,0.0,0.0,0.0,,,,
2022,01,北海道,0111,日高,8.0,0.0,1.0,0.0,,,,
2022,01,北海道,0112,上川中部,54.0,0.0,0.0,0.0,,,,
2022,01,北海道,0113,上川北部,9.0,0.0,0.0,0.0,,,,
2022,01,北海道,0114,富良野,3.0,0.0,0.0,0.0,,,,
2022,01,北海道,0115,留萌,7.0,0.0,0.0,0.0,,,,
2022,01,北海道,0117,北網,32.0,0.0,0.0,0.0,,,,
2022,01,北海道,0118,遠紋,11.0,0.0,0.0,0.0,,,,
2022,01,北海道,0121,根室,6.0,0.0,0.0,0.0,,,,
2022,02,青森県,0204,西北五地域,10.0,0.0,0.0,0.0,,,,
2022,03,岩手県,0301,盛岡,63.0,0.0,1.0,0.0,,,,
2022,03,岩手県,0303,胆江,15.0,0.0,0.0,0.0,,,,
2022,03,岩手県,0304,両磐,15.0,0.0,1.0,0.0,,,,
2022,03,岩手県,0306,釜石,7.0,0.0,0.0,0.0,,,,
2022,03,岩手県,0307,宮古,9.0,0.0,0.0,0.0,,,,
2022,03,岩手県,0308,久慈,7.0,0.0,0.0,0.0,,,,
2022,03,岩手県,0309,二戸,8.0,0.0,0.0,0.0,,,,
2022,04,宮城県,0401,仙南,16.0,0.0,0.0,0.0,,,,
2022,04,宮城県,0406,大崎・栗原,35.0,0.0,1.0,0.0,,,,
2022,05,秋田県,0501,大館・鹿角,9.0,0.0,0.0,0.0,,,,
2022,05,秋田県,0502,北秋田,2.0,0.0,0.0,0.0,,,,
2022,05,秋田県,0506,大仙・仙北,12.0,0.0,0.0,0.0,,,,
2022,05,秋田県,0507,横手,5.0,0.0,0.0,0.0,,,,
2022,05,秋田県,0508,湯沢・雄勝,5.0,0.0,0.0,0.0,,,,
2022,06,山形県,0604,庄内,24.0,0.0,2.0,0.0,,,,
2022,07,福島県,0701,県北,34.0,0.0,2.0,0.0,,,,
2022,07,福島県,0703,県南,10.0,0.0,1.0,0.0,,,,
2022,07,福島県,0706,相双,15.0,0.0,0.0,0.0,,,,
2022,08,茨城県,0801,水戸,51.0,0.0,1.0,0.0,,,,
2022,08,茨城県,0804,鹿行,18.0,0.0,0.0,0.0,,,,
2022,08,茨城県,0808,筑西・下妻,20.0,0.0,0.0,0.0,,,,
2022,08,茨城県,0809,古河・坂東,15.0,0.0,0.0,0.0,,,,
2022,09,栃木県,0904,県東,10.0,0.0,0.0,0.0,,,,
2022,09,栃木県,0905,県南,39.0,0.0,2.0,0.0,,,,
2022,10,群馬県,1001,前橋,34.0,0.0,0.0,0.0,,,,
2022,10,群馬県,1002,渋川,10.0,0.0,0.0,0.0,,,,
2022,10,群馬県,1003,伊勢崎,19.0,0.0,1.0,0.0,,,,
2022,10,群馬県,1005,藤岡,5.0,0.0,0.0,0.0,,,,
2022,10,群馬県,1006,富岡,5.0,0.0,0.0,0.0,,,,
2022,10,群馬県,1007,吾妻,11.0,0.0,0.0,0.0,,,,
2022,10,群馬県,1008,沼田,11.0,0.0,0.0,0.0,,,,
2022,10,群馬県,1009,桐生,15.0,0.0,0.0,0.0,,,,
2022,11,埼玉県,1110,秩父,10.0,0.0,0.0,0.0,,,,
2022,12,千葉県,1205,香取海匝,22.0,0.0,1.0,0.0,,,,
2022,12,千葉県,1208,君津,29.0,0.0,0.0,0.0,,,,
2022,13,東京都,1308,西多摩,28.0,0.0,0.0,0.0,,,,
2022,13,東京都,1312,北多摩北部,40.0,0.0,0.0,0.0,,,,
2022,13,東京都,1313,島しょ,8.0,0.0,0.0,0.0,,,,
2022,14,神奈川県,1407,湘南東部,35.0,0.0,0.0,0.0,,,,
2022,15,新潟県,1501,下越,15.0,0.0,0.0,0.0,,,,
2022,15,新潟県,1503,県央,11.0,0.0,0.0,0.0,,,,
2022,15,新潟県,1504,中越,17.0,0.0,0.0,0.0,,,,
2022,15,新潟県,1506,上越,15.0,0.0,0.0,0.0,,,,
2022,15,新潟県,1507,佐渡,4.0,0.0,0.0,0.0,,,,
2022,16,富山県,1604,砺波,15.0,0.0,0.0,0.0,,,,
2022,17,石川県,1704,能登北部,6.0,0.0,0.0,0.0,,,,
2022,19,山梨県,1901,中北,48.0,0.0,1.0,0.0,,,,
2022,19,山梨県,1903,峡南,6.0,0.0,0.0,0.0,,,,
2022,19,山梨県,1904,富士・東部,12.0,0.0,0.0,0.0,,,,
2022,20,長野県,2002,上小,19.0,0.0,0.0,0.0,,,,
2022,20,長野県,2003,諏訪,13.0,0.0,0.0,0.0,,,,
2022,20,長野県,2004,上伊那,9.0,0.0,0.0,0.0,,,,
2022,20,長野県,2006,木曽,1.0,0.0,0.0,0.0,,,,
2022,20,長野県,2008,大北,3.0,0.0,0.0,0.0,,,,
2022,20,長野県,2010,北信,4.0,0.0,0.0,0.0,,,,
2022,21,岐阜県,2102,西濃,32.0,0.0,0.0,0.0,,,,
2022,21,岐阜県,2104,東濃,23.0,0.0,1.0,0.0,,,,
2022,22,静岡県,2201,賀茂,10.0,0.0,0.0,0.0,,,,
2022,22,静岡県,2202,熱海伊東,12.0,0.0,0.0,0.0,,,,
2022,22,静岡県,2204,富士,31.0,0.0,1.0,0.0,,,,
2022,23,愛知県,2302,海部,22.0,0.0,0.0,0.0,,,,
2022,23,愛知県,2310,西三河南部東,24.0,0.0,0.0,0.0,,,,
2022,23,愛知県,2311,東三河北部,5.0,0.0,1.0,0.0,,,,
2022,23,愛知県,2312,東三河南部,54.0,0.0,0.0,0.0,,,,
2022,24,三重県,2401,北勢,62.0,0.0,2.0,0.0,,,,
2022,24,三重県,2404,東紀州,5.0,0.0,0.0,0.0,,,,
2022,25,滋賀県,2501,大津,22.0,0.0,0.0,0.0,,,,
2022,25,滋賀県,2502,湖南,21.0,0.0,1.0,0.0,,,,
2022,25,滋賀県,2503,甲賀,8.0,0.0,0.0,0.0,,,,
2022,25,滋賀県,2504,東近江,15.0,0.0,0.0,0.0,,,,
2022,25,滋賀県,2505,湖東,6.0,0.0,0.0,0.0,,,,
