year,prefecture_code,prefecture_name,sma_code,sma_name,reporting_facilities,facilities_with_observed_online_use,facilities_with_suppressed_online_component,observed_online_patient_days,top1_share_observed_pct,top2_share_observed_pct,top5_share_observed_pct,hhi_observed
2022,05,秋田県,0505,由利本荘・にかほ,13.0,1.0,0.0,438.0,100.0,100.0,100.0,10000.0
2022,33,岡山県,3302,県南西部,81.0,1.0,1.0,434.0,100.0,100.0,100.0,10000.0
2022,14,神奈川県,1412,横浜,169.0,7.0,7.0,425.0,44.94117647058823,65.88235294117646,93.64705882352942,2781.7301038062274
2022,23,愛知県,2313,名古屋・尾張中部,192.0,6.0,3.0,420.0,79.28571428571428,84.76190476190476,96.9047619047619,6376.41723356009
2022,19,山梨県,1902,峡東,16.0,1.0,0.0,400.0,100.0,100.0,100.0,10000.0
2022,40,福岡県,4009,飯塚,31.0,2.0,0.0,389.0,91.77377892030847,100.0,100.0,8490.097210565618
2022,34,広島県,3406,福山・府中,67.0,3.0,1.0,386.0,56.73575129533679,92.48704663212435,100.0,4553.545061612393
2022,46,鹿児島県,4603,南薩,49.0,3.0,2.0,382.0,76.17801047120419,95.5497382198953,100.0,6198.157945231765
2022,18,福井県,1803,丹南,24.0,2.0,2.0,377.0,71.08753315649867,100.0,100.0,5889.368109252861
2022,28,兵庫県,2811,阪神,110.0,3.0,2.0,365.0,70.41095890410959,96.98630136986301,100.0,5673.034340401576
2022,14,神奈川県,1409,県央,45.0,2.0,2.0,348.0,91.95402298850574,100.0,100.0,8520.280089840138
2022,23,愛知県,2309,西三河南部西,43.0,2.0,2.0,333.0,85.58558558558559,100.0,100.0,7532.667802938074
2022,01,北海道,0105,後志,31.0,1.0,1.0,325.0,100.0,100.0,100.0,10000.0
2022,20,長野県,2009,長野,47.0,3.0,1.0,322.0,72.98136645962732,96.8944099378882,100.0,5907.7581883415
2022,23,愛知県,2306,尾張北部,57.0,2.0,1.0,315.0,65.71428571428571,100.0,100.0,5493.877551020409
2022,23,愛知県,2308,西三河北部,27.0,2.0,1.0,295.0,92.88135593220339,100.0,100.0,8677.62137316863
2022,27,大阪府,2701,豊能,52.0,3.0,0.0,288.0,79.51388888888889,94.44444444444444,100.0,6576.244212962962
2022,43,熊本県,4312,熊本・上益城,192.0,5.0,7.0,285.0,41.05263157894737,68.42105263157895,100.0,2842.843951985226
2022,24,三重県,2402,中勢伊賀,34.0,1.0,0.0,281.0,100.0,100.0,100.0,10000.0
2022,38,愛媛県,3801,宇摩,10.0,2.0,3.0,254.0,66.53543307086615,100.0,100.0,5546.841093682187
2022,27,大阪府,2702,三島,42.0,4.0,3.0,249.0,45.78313253012048,75.90361445783132,100.0,3398.17099724198
2022,29,奈良県,2901,奈良,27.0,1.0,0.0,237.0,100.0,100.0,100.0,10000.0
2022,11,埼玉県,1108,利根,43.0,2.0,0.0,230.0,95.21739130434783,100.0,100.0,9089.224952741022
2022,09,栃木県,0902,県西,19.0,1.0,2.0,185.0,100.0,100.0,100.0,10000.0
